miRNA,mRNA,coeff 2,coeff 7,VIP 2,Vip 7
hsa_miR_125a_5p_4395309,_217749_at,0.2683811526,0.2689406702,1.81384,1.62567
hsa_miR_363_4378090,_217730_at,-0.2210904863,-0.2250114352,1.40042,1.40593
hsa_miR_758_4395180,_217720_at,0.2052360935,0.2497880939,1.28848,1.48989
hsa_miR_363_4378090,_217717_s_at,-0.2639325682,-0.2416814006,1.70827,1.6298
hsa_miR_758_4395180,_217043_s_at,0.2462560836,0.3008766566,1.82629,1.96291
hsa_miR_410_4378093,_216652_s_at,0.2572637802,0.2641574423,1.86601,1.89305
hsa_miR_758_4395180,_216652_s_at,0.2179149823,0.2200934482,1.61158,1.57695
hsa_miR_873_4395467,_216248_s_at,-0.2206980952,-0.2178439067,1.64867,1.61732
hsa_miR_139_5p_4395400,_216060_s_at,-0.2731940334,-0.2619478728,1.60808,1.54906
hsa_miR_363_4378090,_216060_s_at,0.3954384439,0.3795593829,2.28265,2.23075
hsa_miR_125a_5p_4395309,_215758_x_at,0.210273608,0.2081861429,1.58718,1.6254
hsa_miR_205_4373093,_215729_s_at,-0.247140487,-0.2539148713,1.15663,1.08902
hsa_miR_363_4378090,_215729_s_at,-0.3934105638,-0.410099613,1.96726,1.90716
hsa_miR_410_4378093,_215729_s_at,0.2816834046,0.2973798743,1.38158,1.4767
hsa_miR_616_4395525,_215729_s_at,0.2260238869,0.2331990328,1.07396,1.01222
hsa_miR_363_4378090,_215716_s_at,0.3546755559,0.3335493643,1.8431,1.74886
hsa_miR_873_4395467,_215716_s_at,-0.2154105086,-0.2020959222,1.33168,1.28065
hsa_miR_205_4373093,_215489_x_at,-0.2084802243,-0.2283549488,1.34643,1.28177
hsa_miR_363_4378090,_215471_s_at,-0.2403642841,-0.2095567177,1.71579,1.55025
hsa_miR_363_4378090,_215388_s_at,0.5021471329,0.4767774383,1.97154,2.01881
hsa_miR_518b_4373246,_215388_s_at,-0.2587716594,-0.2110691158,0.87001,0.81459
hsa_miR_636_4395199,_215388_s_at,-0.311065762,-0.2979648905,1.01737,1.06098
hsa_miR_363_4378090,_215380_s_at,-0.2284647753,-0.3156678538,1.71731,1.73988
hsa_miR_410_4378093,_215380_s_at,0.212943994,0.2001987781,1.9168,1.16561
hsa_miR_758_4395180,_215380_s_at,0.2093059843,0.2172239632,1.82437,1.18891
